inchi_rea,inchikey_rea,smiles_rea,smiles_pro,RGT,SOL,CAT,ylds,reference
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['7782-44-7'],['67-63-0'],['1359766-43-0'],100.0,"Efficient oxidative coupling of 2,6-disubstituted phenol catalyzed by a dicopper(ii) complex"
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-73-2', '7722-84-1']",['7732-18-5'],[],99.0,"Process for the production of biphenyl-2,2-diols by oxidative coupling of their corresponding phenols"
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['7647-01-0'],"['75-05-8', '7732-18-5']",['2822580-34-5'],99.0,Effect of Redox-Inactive Metal Ion-Nickel(III) Interactions on the Redox Properties and Proton-Coupled Electron Transfer Reactivity
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '7732-18-5']",['7732-18-5'],"['98-98-6', '7646-79-9']",99.0,"Oxidative coupling method of 2,4-di-tert-butylphenol under catalysis of cobalt"
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['7647-01-0'],"['67-56-1', '7732-18-5']",['27285-57-0'],99.0,Cu(II)-mediated phenol oxygenation: Chemical evidence implicates a unique role of the enzyme active site in promoting the chemically difficult tyrosine monooxygenation in TPQ cofactor biogenesis of copper amine oxidases
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['497-19-8', '7758-11-4', '26264-06-2', '7722-84-1']",['7732-18-5'],['7758-99-8'],97.0,"Green production process for preparing biphenol from 2,4-disubstituted phenol"
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['7782-44-7', '442852-68-8']",['67-64-1'],[],97.0,Fine-Tuning of Copper(I)-Dioxygen Reactivity by 2-(2-Pyridyl)ethylamine Bidentate Ligands
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['1310-73-2', '7722-84-1']",['7732-18-5'],"['143-07-7', '7439-89-6']",97.0,"Preparation of 2,2'-dihydroxybiphenyls"
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['7782-44-7'],"['67-56-1', '7732-18-5']",['748746-38-5'],96.0,Cu(II)-mediated phenol oxygenation: Chemical evidence implicates a unique role of the enzyme active site in promoting the chemically difficult tyrosine monooxygenation in TPQ cofactor biogenesis of copper amine oxidases
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,[],[],['18893-33-9'],96.0,Solvent-free oxidative coupling of 2-naphthols catalyzed by hydrotalcite-like compounds in aerobic conditions
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['7664-41-7'],['64-17-5'],['7761-88-8'],95.0,Nonconventional driving force for selective oxidative C-C coupling reaction due to concurrent and curious formation of Ag0
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,[],['108-88-3'],"['7440-50-8', '7631-86-9']",95.0,Method for synthesizing bisphosphite and application in transition metal catalyzed reaction
