smiles,MolLogP,MolWt,num_N,num_O,num_S,num_F,num_Cl,num_Br
C=CCc1c(C)cc(C)cc1O,2.73754,162.232,0,1,0,0,0,0
CCCc1c(C)cc(C)cc1O,2.96154,164.248,0,1,0,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1Cl,3.65152,198.693,0,1,0,0,1,0
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,3.2985,351.443,1,5,0,0,0,0
Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,4.66512,240.346,0,1,0,0,0,0
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,3.7002,385.46,1,5,0,0,0,0
Cc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,4.66512,240.346,0,1,0,0,0,0
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,2.43452,225.251,3,1,0,0,0,0
CC(C)(C)c1cc(-c2ccccc2)ccc1O,4.3567,226.319,0,1,0,0,0,0
CC(C)(C)c1cc(-c2ccc(F)cc2)ccc1O,4.4958,244.309,0,1,0,1,0,0
COc1ccc(O)cc1C,1.70922,138.166,0,2,0,0,0,0
CC(C)(C)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O,5.3755,294.316,0,1,0,3,0,0
COc1cc(C=C(C(C)=O)C(C)=O)ccc1O,1.9622,234.251,0,4,0,0,0,0
C=CCc1ccc(O)cc1,2.1207,134.178,0,1,0,0,0,0
CCCCC(CC)Cc1ccc(O)cc1,4.1511,206.329,0,1,0,0,0,0
Cc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,4.66512,240.346,0,1,0,0,0,0
CCC(C)(C)c1ccc(O)c(C(C)(C)C)c1,4.3773,220.356,0,1,0,0,0,0
CC(C)(C)c1cc(-c2ccc3ccccc3c2)ccc1O,5.5099,276.379,0,1,0,0,0,0
C=C(C)c1ccc(O)cc1,2.4253,134.178,0,1,0,0,0,0
CC(C)c1ccc(O)c(C(C)(C)C)c1,3.8131,192.302,0,1,0,0,0,0
Cc1cc(O)c(C(C)C)cc1C,3.13244,164.248,0,1,0,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1F,3.13722,182.238,0,1,0,1,0,0
CC(C)(C)c1cc(C(C)(C)c2ccccc2)ccc1O,5.0156,268.4,0,1,0,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1C,3.30654,178.275,0,1,0,0,0,0
Cc1cc(Cl)c(C)cc1O,2.66244,156.612,0,1,0,0,1,0
COc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,4.3653,256.345,0,2,0,0,0,0
CCc1c(C)cc(O)c(C(=O)OC)c1C,2.35804,208.257,0,3,0,0,0,0
COC(=O)c1c(O)cc(C)c(CCCl)c1C,2.57694,242.702,0,3,0,0,1,0
COc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,4.3653,256.345,0,2,0,0,0,0
COC(=O)c1c(O)cc(C)c(C)c1C,2.10406,194.23,0,3,0,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,4.29562,220.356,0,1,0,0,0,0
COc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,4.3653,256.345,0,2,0,0,0,0
CC(C)(C)c1cc(C(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1O,7.0724,392.542,0,1,0,0,0,0
COc1cc(C)cc(O)c1C,2.01764,152.193,0,2,0,0,0,0
COc1ccc(O)cc1F,1.5399,142.129,0,2,0,1,0,0
COc1cc(CCc2cc(OC)c(OC)c(OC)c2)ccc1O,3.2118,318.369,0,5,0,0,0,0
COc1c(O)cc(C)cc1C(C)(C)C,3.00672,194.274,0,2,0,0,0,0
CCOC(=O)C(=Cc1ccc(O)c(OC)c1)C(=O)OCC,1.9104,294.303,0,6,0,0,0,0
Cc1cc(O)c(C(C)C)cc1C(C)(C)C,4.12152,206.329,0,1,0,0,0,0
C=CCc1c(C)cc(OC)cc1O,2.43772,178.231,0,2,0,0,0,0
COc1ccc(F)cc1-c1ccc(O)c(C(C)(C)C)c1,4.5044,274.335,0,2,0,1,0,0
CC(C)(C)c1cc(-c2cccc3ccccc23)ccc1O,5.5099,276.379,0,1,0,0,0,0
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(C)=O,1.9099,293.363,1,4,0,0,0,0
C=CCc1cccc(O)c1,2.1207,134.178,0,1,0,0,0,0
Cc1cc(O)c(C(C)C)cc1C(C)C,3.94742,192.302,0,1,0,0,0,0
CCOC(=O)c1c(O)cc(C)c(CCCl)c1C,2.96704,256.729,0,3,0,0,1,0
CCc1c(OC)cc(O)cc1OC,1.9718,182.219,0,3,0,0,0,0
COc1cc(O)cc(OC)c1C,1.71782,168.192,0,3,0,0,0,0
COc1cc(O)cc(OC)c1-c1ccccc1,3.0764,230.263,0,3,0,0,0,0
COCc1ccc(O)c(OC)c1,1.5472,168.192,0,3,0,0,0,0
Oc1ccc(-c2ccccc2)cc1,3.0592,170.211,0,1,0,0,0,0
Cc1cc(O)c(-c2ccc(C(F)(F)F)cc2)cc1C,4.69484,266.262,0,1,0,3,0,0
C=CCOc1ccc(O)c(C(C)(C)C)c1,3.2545,206.285,0,2,0,0,0,0
COc1cc(C=C(C#N)C(N)=O)ccc1O,0.79308,218.212,2,3,0,0,0,0
COC(=O)C(C#N)=Cc1ccc(O)c(OC)c1,1.48078,233.223,1,4,0,0,0,0
Cc1cc(O)c(-c2ccc(F)cc2)cc1C,3.81514,216.255,0,1,0,1,0,0
Cc1cc(O)c(C2CCCC2)cc1C,3.66664,190.286,0,1,0,0,0,0
CC(C)(C)c1cc(-c2ccc(C#N)cc2)ccc1O,4.22838,251.329,1,1,0,0,0,0
Cc1cc(O)cc(C(C)(C)C)c1,2.99812,164.248,0,1,0,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1Br,3.76062,243.144,0,1,0,0,0,1
CC(C)(C)c1ccc(O)c(-c2ccccc2)c1,4.3567,226.319,0,1,0,0,0,0
Cc1cc(O)c(-c2cccc(F)c2)cc1C,3.81514,216.255,0,1,0,1,0,0
COc1cc(O)cc(C)c1OC,1.71782,168.192,0,3,0,0,0,0
COCCOCCOCCOc1ccc(O)c(C(C)(C)C)c1,2.7481,312.406,0,5,0,0,0,0
Cc1cc(O)c(C(C)C)cc1C1CCCCC1,4.87172,232.367,0,1,0,0,0,0
COc1cc(C)cc(O)c1C(C)=O,1.91182,180.203,0,3,0,0,0,0
CCC(C)(C)c1cc(C)ccc1O,3.38822,178.275,0,1,0,0,0,0
Cc1cc(O)c(C2CCCCC2)cc1C,4.05674,204.313,0,1,0,0,0,0
Cc1cc(O)c(-c2ccccc2)cc1C,3.67604,198.265,0,1,0,0,0,0
CCC(C)(C)c1cc(C(C)(C)C)c(O)cc1C,4.68572,234.383,0,1,0,0,0,0
COc1c(O)cc(C)cc1C1(C)CCCC1(C)C,4.17702,248.366,0,2,0,0,0,0
Cc1cc(C(C)(C)C)c(C)cc1O,3.30654,178.275,0,1,0,0,0,0
COc1ccc(-c2cc(C(C)(C)C)ccc2O)cc1,4.3653,256.345,0,2,0,0,0,0
Cc1cc(O)c(C23CC4CC(CC(C4)C2)C3)cc1C,4.47684,256.389,0,1,0,0,0,0
COc1cc(C=C(C#N)c2ccccn2)ccc1O,2.85998,252.273,2,2,0,0,0,0
Cc1cc(O)c(C)c(C)c1C,2.62588,150.221,0,1,0,0,0,0
CCC(C)c1cc(C)c(O)cc1C,3.52254,178.275,0,1,0,0,0,0
CC(C)(C)c1ccc(O)c(Br)c1,3.4522,229.117,0,1,0,0,0,1
Cc1cc(O)c(C(C)C)c(C)c1C,3.44086,178.275,0,1,0,0,0,0
COc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,3.9958,236.355,0,2,0,0,0,0
Cc1ccc(O)c(-c2ccc(C(F)(F)F)cc2)c1,4.38642,252.235,0,1,0,3,0,0
