smiles,HOMO
C=CCc1c(C)cc(C)cc1O,-7.295920568
CCCc1c(C)cc(C)cc1O,-7.26680437
Cc1cc(O)c(C(C)(C)C)cc1Cl,-7.461093766
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,-7.445583268
Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,-6.976186618
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,-7.411569018
Cc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,-7.046936258
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,-7.314152206
CC(C)(C)c1cc(-c2ccccc2)ccc1O,-7.101903286
CC(C)(C)c1cc(-c2ccc(F)cc2)ccc1O,-7.169115444
COc1ccc(O)cc1C,-6.862987194
CC(C)(C)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O,-7.44503904
COc1cc(C=C(C(C)=O)C(C)=O)ccc1O,-7.356874104
C=CCc1ccc(O)cc1,-7.409392106
CCCCC(CC)Cc1ccc(O)cc1,-7.350071254
Cc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,-7.197959528
CCC(C)(C)c1ccc(O)c(C(C)(C)C)c1,-7.285036008
CC(C)(C)c1cc(-c2ccc3ccccc3c2)ccc1O,-6.904076408
C=C(C)c1ccc(O)cc1,-7.135645422
CC(C)c1ccc(O)c(C(C)(C)C)c1,-7.279593728
Cc1cc(O)c(C(C)C)cc1C,-7.112515732
Cc1cc(O)c(C(C)(C)C)cc1F,-7.37156826
CC(C)(C)c1cc(C(C)(C)c2ccccc2)ccc1O,-7.271974536
Cc1cc(O)c(C(C)(C)C)cc1C,-7.137822334
Cc1cc(Cl)c(C)cc1O,-7.433610252
COc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,-7.020269086
CCc1c(C)cc(O)c(C(=O)OC)c1C,-7.279321614
COC(=O)c1c(O)cc(C)c(CCCl)c1C,-7.591164258
COc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,-6.7892443
COC(=O)c1c(O)cc(C)c(C)c1C,-7.311431066
Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,-7.139455018
COc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,-7.110066706
CC(C)(C)c1cc(C(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1O,-7.315240662
COc1cc(C)cc(O)c1C,-7.267348598
COc1ccc(O)cc1F,-7.518237706
COc1cc(CCc2cc(OC)c(OC)c(OC)c2)ccc1O,-7.029520962
COc1c(O)cc(C)cc1C(C)(C)C,-7.369119234
CCOC(=O)C(=Cc1ccc(O)c(OC)c1)C(=O)OCC,-7.21238157
Cc1cc(O)c(C(C)C)cc1C(C)(C)C,-7.157686656
C=CCc1c(C)cc(OC)cc1O,-7.065984238
COc1ccc(F)cc1-c1ccc(O)c(C(C)(C)C)c1,-7.2518381
CC(C)(C)c1cc(-c2cccc3ccccc23)ccc1O,-6.935097404
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(C)=O,-7.569667252
C=CCc1cccc(O)c1,-7.549530816
Cc1cc(O)c(C(C)C)cc1C(C)C,-7.124488748
CCOC(=O)c1c(O)cc(C)c(CCCl)c1C,-7.563680744
CCc1c(OC)cc(O)cc1OC,-6.954145384
COc1cc(O)cc(OC)c1C,-6.935097404
COc1cc(O)cc(OC)c1-c1ccccc1,-7.240681426
COCc1ccc(O)c(OC)c1,-7.16748276
Oc1ccc(-c2ccccc2)cc1,-7.169387558
Cc1cc(O)c(-c2ccc(C(F)(F)F)cc2)cc1C,-7.400412344
C=CCOc1ccc(O)c(C(C)(C)C)c1,-6.92121959
COc1cc(C=C(C#N)C(N)=O)ccc1O,-7.475787922
COC(=O)C(C#N)=Cc1ccc(O)c(OC)c1,-7.50490412
Cc1cc(O)c(-c2ccc(F)cc2)cc1C,-7.20285758
Cc1cc(O)c(C2CCCC2)cc1C,-7.076596684
CC(C)(C)c1cc(-c2ccc(C#N)cc2)ccc1O,-7.494835902
Cc1cc(O)cc(C(C)(C)C)c1,-7.383541276
Cc1cc(O)c(C(C)(C)C)cc1Br,-7.422725692
CC(C)(C)c1ccc(O)c(-c2ccccc2)c1,-7.220272876
Cc1cc(O)c(-c2cccc(F)c2)cc1C,-7.24911696
COc1cc(O)cc(C)c1OC,-7.226531498
COCCOCCOCCOc1ccc(O)c(C(C)(C)C)c1,-6.924757072
Cc1cc(O)c(C(C)C)cc1C1CCCCC1,-7.095100436
COc1cc(C)cc(O)c1C(C)=O,-7.476604264
CCC(C)(C)c1cc(C)ccc1O,-7.263539002
Cc1cc(O)c(C2CCCCC2)cc1C,-7.087753358
Cc1cc(O)c(-c2ccccc2)cc1C,-7.0341469
CCC(C)(C)c1cc(C(C)(C)C)c(O)cc1C,-7.180816346
COc1c(O)cc(C)cc1C1(C)CCCC1(C)C,-7.326941564
Cc1cc(C(C)(C)C)c(C)cc1O,-7.164217392
COc1ccc(-c2cc(C(C)(C)C)ccc2O)cc1,-7.037956496
Cc1cc(O)c(C23CC4CC(CC(C4)C2)C3)cc1C,-7.03686804
COc1cc(C=C(C#N)c2ccccn2)ccc1O,-7.044487232
Cc1cc(O)c(C)c(C)c1C,-7.033058444
CCC(C)c1cc(C)c(O)cc1C,-7.104352312
CC(C)(C)c1ccc(O)c(Br)c1,-7.621096798
Cc1cc(O)c(C(C)C)c(C)c1C,-7.07360343
COc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,-6.966934742
Cc1ccc(O)c(-c2ccc(C(F)(F)F)cc2)c1,-7.50762526
COc1cc(CC2CO2)ccc1O,-7.194149932
CC(=O)c1cc(C)c(Br)cc1O,-7.845590848
COc1cc(CCOC(C)=O)ccc1O,-7.134556966
COC(=O)c1c(O)cc(OC)c(OC)c1C,-7.22326613
COc1cc(CC(NC(C)=O)C(=O)O)ccc1O,-7.329934818
CCc1ccc(-c2cc(C)ccc2O)cc1,-7.136461764
Cc1cc(C)c(O)cc1C,-7.086392788
COCOc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,-7.062990984
COc1cc(CC2COC(C)(C)O2)ccc1O,-7.088841814
CCOc1cc(C=C(C#N)C#N)ccc1O,-7.73211931
Cc1ccc(O)c(-c2ccccc2)c1,-7.211293114
Cc1ccc(O)c(S(C)(=O)=O)c1,-8.08586751
CCc1cc(C(C)C)c(O)cc1C,-7.121495494
CC(C)(C)CC(C)(C)c1ccc(O)c(C(C)(C)CC(C)(C)C)c1,-7.248844846
CCCCCCCCCCc1ccc(O)c(OC)c1,-6.986254836
CC(=O)NC(Cc1ccc(O)c(Br)c1)C(=O)O,-7.906000156
COC(=O)c1c(C)cc(OC)cc1O,-7.48177443
COc1ccc(-c2cc(C)c(C)cc2O)cc1,-6.925029186
COC(=O)CCc1ccc(O)c(C(C)(C)C)c1,-7.297825366
CCC(C)c1cc(C)c(C)cc1O,-7.115508986
CC(=O)NC(Cc1ccc(O)c(OS(C)(=O)=O)c1)C(=O)O,-7.860285004
CC=Cc1cc(OC)c2c(c1)C(C)C(c1ccc(O)c(OC)c1)O2,-6.753053138
COc1ccc(-c2cc(C)ccc2O)cc1,-7.032242102
CC(C)(C)c1ccc(O)c(C#N)c1,-7.982192076
COC(=O)c1c(O)cc(C)cc1OC,-7.389799898
COc1c(Br)cc(O)c(Br)c1Br,-7.993620864
COc1cc(-c2nc3ccccc3s2)ccc1O,-7.039317066
Cc1cc(C2CCCCC2)c(C)cc1O,-7.071426518
CC(C)(C)c1ccc(O)c(Cl)c1,-7.644226488
CC(=O)NC(Cc1ccc(O)c(Cl)c1)C(=O)O,-7.934572126
COC(=O)C=Cc1cccc(O)c1,-7.7688547
CC(=O)OCCc1ccc(O)cc1,-7.51987039
Cc1cc(O)c(C2(C)CCC3CC32C)cc1Br,-7.368575006
COc1cc(C(O)COc2ccccc2OC)ccc1O,-6.981628898
CC(C)(C)c1ccc(O)c(C=NO)c1,-7.307077242
COc1cc(Br)cc(O)c1C,-7.644498602
COCOc1c(O)cc(C)cc1C1(C)CCCC1(C)C,-7.139455018
CC(C)(C)c1cc(Br)ccc1O,-7.53075495
COc1cc(C(C)C)ccc1O,-7.015643148
CC=Cc1ccc(O)cc1,-6.91033503
Cc1ccc(O)c(CO)c1,-7.289389832
Oc1ccc(CC2CO2)cc1,-7.581640268
