smiles,Charge_O,Charge_next_O,Charge_o_1,Charge_m_1,Charge_p,Charge_m_2,Charge_o_2
C=CCc1c(C)cc(C)cc1O,-0.791513,0.403382,-0.279647,0.071555,-0.283242,0.052155,-0.07992
CCCc1c(C)cc(C)cc1O,-0.774547,0.412321,-0.312869,0.071157,-0.284353,0.050831,-0.061436
Cc1cc(O)c(C(C)(C)C)cc1Cl,-0.773026,0.419157,-0.315258,0.085541,-0.19044,-0.195839,-0.0076
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,-0.773795,0.396056,-0.278001,-0.221209,0.001822,-0.253275,-0.0021
Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,-0.773986,0.397007,-0.278751,-0.208511,0.008888,-0.254489,-0.002825
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,-0.774254,0.396215,-0.279445,-0.216122,0.00571,-0.266399,-0.002743
Cc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,-0.773767,0.397862,-0.279194,-0.207392,0.004205,-0.252279,-0.003546
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,-0.795019,0.410547,-0.251712,-0.195009,0.021893,-0.237132,0.292929
CC(C)(C)c1cc(-c2ccccc2)ccc1O,-0.773493,0.398024,-0.279051,-0.207458,0.005127,-0.253239,-0.003161
CC(C)(C)c1cc(-c2ccc(F)cc2)ccc1O,-0.772728,0.398432,-0.278396,-0.208881,0.009571,-0.254361,-0.002268
COc1ccc(O)cc1C,-0.770356,0.408797,-0.24276,-0.258323,0.390686,0.003029,-0.308224
CC(C)(C)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O,-0.770629,0.402891,-0.280154,-0.20412,0.000749,-0.250098,-0.00379
COc1cc(C=C(C(C)=O)C(C)=O)ccc1O,-0.766583,0.382651,-0.245727,-0.206101,-0.015313,-0.298545,0.376609
C=CCc1ccc(O)cc1,-0.76354,0.406398,-0.242398,-0.21476,0.004664,-0.193194,-0.282326
CCCCC(CC)Cc1ccc(O)cc1,-0.764096,0.404354,-0.282452,-0.211925,0.018263,-0.202859,-0.240848
Cc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,-0.773735,0.397831,-0.280099,-0.203427,-0.018236,-0.238881,-0.004984
CCC(C)(C)c1ccc(O)c(C(C)(C)C)c1,-0.776701,0.395495,-0.276479,-0.229296,0.044279,-0.25622,-0.000296
CC(C)(C)c1cc(-c2ccc3ccccc3c2)ccc1O,-0.773176,0.398648,-0.27931,-0.208614,0.007755,-0.252106,-0.003382
C=C(C)c1ccc(O)cc1,-0.761768,0.412001,-0.245748,-0.196637,-0.019762,-0.206391,-0.286049
CC(C)c1ccc(O)c(C(C)(C)C)c1,-0.775884,0.392196,-0.273881,-0.228747,0.043729,-0.250746,0.000309
Cc1cc(O)c(C(C)C)cc1C,-0.774497,0.383816,-0.309169,0.039699,0.013445,-0.235678,-0.007828
Cc1cc(O)c(C(C)(C)C)cc1F,-0.776844,0.408088,-0.305234,-0.031825,0.438177,-0.308217,-0.000191
CC(C)(C)c1cc(C(C)(C)c2ccccc2)ccc1O,-0.775714,0.396931,-0.27817,-0.229609,0.019323,-0.238648,-0.001494
Cc1cc(O)c(C(C)(C)C)cc1C,-0.778534,0.407017,-0.313894,0.040957,0.017633,-0.257952,-0.00467
Cc1cc(Cl)c(C)cc1O,-0.765144,0.406836,-0.309681,0.081997,-0.188292,-0.187013,-0.012863
COc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,-0.773434,0.398774,-0.279418,-0.205512,-0.000565,-0.25271,-0.003467
CCc1c(C)cc(O)c(C(=O)OC)c1C,-0.790955,0.466446,-0.308759,0.086124,-0.058806,0.06709,-0.269789
COC(=O)c1c(O)cc(C)c(CCCl)c1C,-0.787059,0.471736,-0.309375,0.092041,-0.085956,0.074982,-0.273626
COc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,-0.77452,0.395507,-0.277792,-0.211074,0.014499,-0.256509,-0.001884
COC(=O)c1c(O)cc(C)c(C)c1C,-0.789865,0.448568,-0.304861,0.081376,-0.050454,0.063426,-0.24394
Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,-0.783453,0.370103,-0.27377,0.048626,0.013391,-0.276166,0.003485
COc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,-0.773086,0.400869,-0.28329,-0.207416,-0.011274,-0.231253,-0.011573
CC(C)(C)c1cc(C(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1O,-0.774857,0.40171,-0.284716,-0.220715,-0.018773,-0.240105,-0.002518
COc1cc(C)cc(O)c1C,-0.770327,0.410673,-0.33382,0.076989,-0.327962,0.443424,-0.087571
COc1ccc(O)cc1F,-0.760455,0.417108,-0.287575,-0.218993,0.307242,0.449558,-0.320605
COc1cc(CCc2cc(OC)c(OC)c(OC)c2)ccc1O,-0.779964,0.357114,-0.238156,-0.230798,0.029197,-0.27566,0.370765
COc1c(O)cc(C)cc1C(C)(C)C,-0.777179,0.395045,-0.273861,0.069238,-0.299055,0.034296,0.268292
CCOC(=O)C(=Cc1ccc(O)c(OC)c1)C(=O)OCC,-0.767642,0.391321,-0.251351,-0.20577,-0.022081,-0.298207,0.36528
Cc1cc(O)c(C(C)C)cc1C(C)(C)C,-0.774853,0.387625,-0.310317,0.04868,0.007279,-0.249286,-0.005027
C=CCc1c(C)cc(OC)cc1O,-0.790751,0.413996,-0.344576,0.466737,-0.3099,0.061511,-0.093248
COc1ccc(F)cc1-c1ccc(O)c(C(C)(C)C)c1,-0.771622,0.403821,-0.284023,-0.204924,-0.013891,-0.229631,-0.012097
CC(C)(C)c1cc(-c2cccc3ccccc23)ccc1O,-0.773191,0.399319,-0.280721,-0.201001,-0.018759,-0.248345,-0.004461
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(C)=O,-0.77347,0.396499,-0.276592,-0.222234,-0.012516,-0.265973,-0.000353
C=CCc1cccc(O)c1,-0.764294,0.424386,-0.253328,-0.177282,-0.259631,0.050125,-0.306932
Cc1cc(O)c(C(C)C)cc1C(C)C,-0.774395,0.38617,-0.312716,0.032488,0.006169,-0.225759,-0.009068
CCOC(=O)c1c(O)cc(C)c(CCCl)c1C,-0.787672,0.471027,-0.30933,0.091748,-0.085817,0.074323,-0.273828
CCc1c(OC)cc(O)cc1OC,-0.765302,0.452206,-0.39337,0.457887,-0.128195,0.45936,-0.35519
COc1cc(O)cc(OC)c1C,-0.765689,0.452161,-0.356095,0.456529,-0.111977,0.450014,-0.39397
COc1cc(O)cc(OC)c1-c1ccccc1,-0.763093,0.443843,-0.297823,0.414045,-0.120693,0.414393,-0.341206
COCc1ccc(O)c(OC)c1,-0.777667,0.365217,-0.238813,-0.228734,-0.033998,-0.269662,0.375586
Oc1ccc(-c2ccccc2)cc1,-0.761742,0.410799,-0.246231,-0.199149,-0.014469,-0.198365,-0.286426
Cc1cc(O)c(-c2ccc(C(F)(F)F)cc2)cc1C,-0.77582,0.384007,-0.273705,0.046934,0.010042,-0.229257,-0.046469
C=CCOc1ccc(O)c(C(C)(C)C)c1,-0.779649,0.376857,-0.261675,-0.243119,0.441263,-0.323825,0.012105
COc1cc(C=C(C#N)C(N)=O)ccc1O,-0.761384,0.398266,-0.25349,-0.196163,-0.009499,-0.275567,0.36943
COC(=O)C(C#N)=Cc1ccc(O)c(OC)c1,-0.760749,0.400375,-0.254432,-0.195571,-0.013501,-0.27363,0.367699
Cc1cc(O)c(-c2ccc(F)cc2)cc1C,-0.777924,0.380613,-0.273329,0.044557,0.010633,-0.231364,-0.03987
Cc1cc(O)c(C2CCCC2)cc1C,-0.775093,0.383534,-0.309448,0.039896,0.012819,-0.238213,0.004097
CC(C)(C)c1cc(-c2ccc(C#N)cc2)ccc1O,-0.769327,0.404851,-0.280568,-0.202753,-0.001732,-0.248886,-0.003972
Cc1cc(O)cc(C(C)(C)C)c1,-0.765263,0.433589,-0.303472,0.085775,-0.281414,0.073162,-0.321182
Cc1cc(O)c(C(C)(C)C)cc1Br,-0.772785,0.421995,-0.317434,0.071353,-0.053802,-0.207993,-0.0095
CC(C)(C)c1ccc(O)c(-c2ccccc2)c1,-0.779215,0.376877,-0.238443,-0.206983,0.035568,-0.244794,-0.039115
Cc1cc(O)c(-c2cccc(F)c2)cc1C,-0.777097,0.384687,-0.274301,0.046409,0.0098,-0.229331,-0.046008
COc1cc(O)cc(C)c1OC,-0.767136,0.434276,-0.290173,0.026155,0.296016,0.393262,-0.341565
COCCOCCOCCOc1ccc(O)c(C(C)(C)C)c1,-0.779104,0.383017,-0.266936,-0.272907,0.434214,-0.292558,0.013873
Cc1cc(O)c(C(C)C)cc1C1CCCCC1,-0.774561,0.386315,-0.314185,0.034001,0.010037,-0.225185,-0.010079
COc1cc(C)cc(O)c1C(C)=O,-0.784895,0.487949,-0.320861,0.108525,-0.355122,0.498428,-0.305808
CCC(C)(C)c1cc(C)ccc1O,-0.775823,0.392921,-0.274746,-0.221998,0.035465,-0.249388,-0.001704
Cc1cc(O)c(C2CCCCC2)cc1C,-0.77511,0.383909,-0.309689,0.039917,0.012612,-0.234728,-0.005316
Cc1cc(O)c(-c2ccccc2)cc1C,-0.769474,0.40577,-0.314561,0.044956,0.010449,-0.234944,-0.050239
CCC(C)(C)c1cc(C(C)(C)C)c(O)cc1C,-0.779204,0.411753,-0.316516,0.050743,0.010619,-0.274477,0.000105
