SMILES,L,B1,B5
[2H][H],2.14,1.0,1.0
[2H]F,2.68,1.35,1.35
[2H]Cl,3.49,1.8,1.8
[2H]Br,3.79,1.95,1.95
[2H]C,2.99,1.52,2.03
[2H]OC,3.89,1.28,3.1
[2H]CC,4.15,1.56,3.17
[2H]OCC,4.83,1.16,3.38
[2H]N,2.92,0.97,1.98
[2H]CNC,4.94,1.56,3.5
[2H]C#N,4.33,1.7,1.7
[2H]C=O,3.51,1.37,2.37
[2H]CN,3.64,1.56,3.02
[2H]CCO,4.8,1.54,3.26
[2H]C=C,4.28,1.7,3.11
[2H]CCC,5.09,1.56,3.49
[2H]SC,4.05,1.46,3.45
[2H]CO,3.4,1.55,2.93
[2H]NCC,4.0,0.97,4.38
[2H]C#C,4.74,1.6,1.6
[2H]S,3.45,1.08,2.35
[2H]NC,4.01,0.97,3.18
[2H]CNN,4.92,1.54,3.34
[2H]CCN,5.01,1.55,3.37
[2H]COC,3.38,1.54,4.21
[2H]CBr,4.04,1.5,3.82
[2H]N=O,3.2,1.43,2.5
[2H]SCC,4.05,1.46,4.8
[2H]CSC,5.34,1.52,3.5
[2H]OCCC,6.01,1.15,4.45
[2H]C=CC,4.28,1.7,4.21
[2H]CC#N,4.11,1.54,4.16
[2H]CNCC,4.36,1.55,5.58
[2H]OCCO,4.85,1.24,3.36
[2H]SC#N,3.8,1.7,4.55
[2H]C=NO,3.89,1.7,3.93
[2H]CCCC,6.25,1.56,4.56
[2H]CC=C,4.54,1.55,4.07
[2H]C=NC,3.91,1.7,4.03
[2H]OCCN,3.75,1.28,4.35
[2H]COCC,5.75,1.54,4.56
[2H]CC=O,4.08,1.52,3.42
[2H]CN=O,3.99,1.5,3.3
[2H]CCCO,4.15,1.56,5.46
[2H]CCOC,4.13,1.54,5.41
[2H]CCBr,4.13,1.54,4.85
[2H]N(C)C,3.98,1.35,3.15
[2H]C(C)O,4.12,1.77,3.17
[2H]NCC#N,4.01,0.96,5.18
[2H]CC=CC,5.49,1.56,5.28
[2H]C(C)N,4.1,1.88,3.17
[2H]OCCCC,6.96,1.15,4.79
[2H]C=CCO,4.28,1.57,4.83
[2H]C(C)C,4.1,1.92,3.18
[2H]C=NOC,3.89,1.7,5.21
[2H]CCCCC,7.19,1.56,4.96
[2H]CCC#N,4.14,1.54,5.21
[2H]CCC=O,4.14,1.54,4.51
[2H]OCCOC,3.82,1.28,5.11
[2H]C(C)=O,4.23,1.38,3.13
[2H]CN(C)C,3.58,1.55,4.28
[2H]C(=O)O,3.92,1.35,2.62
[2H]CC(C)N,5.08,1.54,4.31
[2H]CCCSCC,6.29,1.55,6.64
[2H]C(=N)S,4.42,1.7,3.36
[2H]C(C)CC,4.11,1.92,4.5
[2H]CCCCCC,4.37,1.56,8.29
[2H]S(C)=O,3.84,1.32,3.39
[2H]OC(F)F,3.88,1.35,3.6
[2H]C(=N)O,3.98,1.47,2.87
[2H]OC(C)C,4.83,1.31,4.39
[2H]COCCCC,4.61,1.54,8.03
[2H]C=CC=O,4.27,1.7,4.87
[2H]CC(C)C,5.09,1.56,4.47
[2H]CC1CO1,4.85,1.54,3.81
[2H]C(O)CN,4.12,1.74,4.02
[2H]C(=N)N,4.02,1.62,3.05
[2H]C(=C)C,4.24,1.77,3.13
[2H]C(O)CC,4.12,1.69,4.47
[2H]OCCCCN,3.87,1.28,4.88
[2H]CCNCC,4.22,1.54,6.85
[2H]CCN=CO,6.84,1.54,4.01
[2H]OCCCCC,8.15,1.15,5.84
[2H]C(O)CO,4.1,1.82,3.77
[2H]OCC=C,3.88,1.28,5.23
[2H]C(=S)S,4.39,1.7,3.35
[2H]C=NCCO,6.14,1.7,4.83
[2H]C(N)CC,4.1,1.9,4.49
[2H]C(=O)OC,4.87,1.7,3.5
[2H]CC(C)NC,4.35,1.55,5.06
[2H]N(CC)CC,3.99,2.11,4.4
[2H]CC(=O)O,4.08,1.52,4.17
[2H]OCCCCCC,9.1,1.15,6.21
[2H]C(O)=NN,5.06,1.46,2.82
[2H]CCCl,5.62,1.54,3.31
[2H]C(C)=NO,4.31,1.77,3.95
[2H]C(O)C#N,4.09,1.66,4.18
[2H]OC(C)=O,4.75,1.18,3.56
[2H]N=C(C)O,4.61,1.7,4.21
[2H]CCC(C)O,4.24,1.55,5.72
[2H]C(=O)CC,5.17,1.7,3.37
[2H]C=CN=CO,4.36,1.7,6.03
[2H]C(O)CNC,4.41,1.68,5.5
[2H]C(O)=NO,4.88,1.46,2.82
[2H]C(C)CCC,4.11,1.92,5.75
[2H]C(O)=NC,3.95,1.47,4.02
[2H]CC(=N)O,4.74,1.54,4.22
[2H]C1CCCC1,5.1,1.86,3.88
[2H]CCN(C)C,4.7,1.55,5.47
[2H]OCCCCNC,3.87,1.56,4.86
[2H]CC(C)Br,5.07,1.54,4.83
[2H]CCC(C)C,6.38,1.56,4.66
[2H]CC(O)CO,4.83,1.55,5.08
[2H]CC(C)=O,4.1,1.53,4.46
[2H]C(=O)CN,5.12,1.7,3.11
[2H]CCCCCCC,9.3,1.56,6.43
[2H]CCl,3.86,1.5,3.51
[2H]C(=O)CO,4.94,1.38,3.1
[2H]N1CCCC1,3.94,1.35,4.13
[2H]C(=N)NO,4.77,1.7,3.03
[2H]CC(=C)C,5.06,1.56,4.49
[2H]CC(N)CO,5.39,1.55,4.02
[2H]C(OC)OC,4.86,1.68,4.25
[2H]C=NN=CO,6.1,1.7,4.7
[2H]CC(N)CC,6.31,1.54,4.53
[2H]OCC(C)O,5.96,1.23,4.53
[2H]C(=O)OCC,5.74,1.7,4.52
[2H]C1CCNCC1,5.98,1.92,3.48
[2H]C(O)=NCO,3.95,1.7,4.61
[2H]C(C)(C)C,4.07,2.77,3.19
[2H]C(=O)CCC,6.37,1.7,4.46
[2H]C1=NCCN1,5.25,1.84,3.05
