smiles,O,next_O,o_1,m_1,p,m_2,o_2
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,8,7,6,5,4,14,9
C=CCc1ccc(O)c(OC)c1,7,6,5,4,3,11,8
COc1cc(C=C(C#N)C#N)ccc1O,14,13,12,11,4,3,2
COc1ccc(O)cc1,6,5,7,8,2,3,4
C=CCc1c(C)cc(C)cc1O,11,10,9,7,6,4,3
COc1ccc(O)c(C(C)(C)C)c1,6,5,4,3,2,12,7
CCCc1c(C)cc(C)cc1O,11,10,9,7,6,4,3
Cc1cc(O)c(C(C)(C)C)cc1Cl,4,3,2,1,11,10,5
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,10,9,8,7,6,16,11
Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,9,8,7,6,5,15,10
COc1cc(C)ccc1O,9,8,7,6,4,3,2
COc1cc(C=O)ccc1O,10,9,8,7,4,3,2
COc1cc(C=NO)ccc1O,11,10,9,8,4,3,2
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,10,9,8,7,6,16,11
CCCCc1ccc(O)cc1,8,7,9,10,4,5,6
Cc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,10,9,8,7,6,16,11
CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,13,12,11,10,9,24,14
COc1cc(C(C)=O)ccc1O,11,10,9,8,4,3,2
COc1cc(C#N)ccc1O,10,9,8,7,4,3,2
COC(=O)c1ccc(O)c(OC)c1,8,7,6,5,4,12,9
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,5,4,3,2,1,16,6
Cc1ccc(O)c(C)c1,5,4,3,2,1,8,6
CC(C)c1ccc(O)cc1,7,6,8,9,3,4,5
CC(C)(C)c1cc(-c2ccccc2)ccc1O,16,15,14,13,6,5,4
CC(C)(C)c1cc(-c2ccc(F)cc2)ccc1O,17,16,15,14,6,5,4
CCc1ccc(O)cc1,6,5,7,8,2,3,4
COc1ccc(O)cc1C,6,5,4,3,2,8,7
CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,9,8,7,6,5,16,10
CC(C)(C)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O,20,19,18,17,6,5,4
COc1cc(C=C(C(C)=O)C(C)=O)ccc1O,16,15,14,13,4,3,2
CCCc1ccc(O)cc1,7,6,8,9,3,4,5
C=CCc1ccc(O)cc1,7,6,8,9,3,4,5
Cc1ccc(C(C)(C)C)c(O)c1,10,9,11,1,2,3,4
CCCCC(CC)Cc1ccc(O)cc1,12,11,13,14,8,9,10
Cc1ccc(O)c(C(C)(C)C)c1,5,4,3,2,1,11,6
Cc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,11,10,9,8,7,17,12
CCC(C)(C)c1ccc(O)c(C(C)(C)C)c1,9,8,7,6,5,15,10
CCCc1ccc(O)c(OC)c1,7,6,5,4,3,11,8
CC(C)(C)c1cc(-c2ccc3ccccc3c2)ccc1O,20,19,18,17,6,5,4
Oc1ccccc1,0,1,6,5,4,3,2
Cc1ccc(O)cc1,5,4,6,7,1,2,3
C=C(C)c1ccc(O)cc1,7,6,8,9,3,4,5
CC(C)(C)c1ccc(O)cc1,8,7,9,10,4,5,6
CC(C)c1ccc(O)c(C(C)(C)C)c1,7,6,5,4,3,13,8
Cc1cc(O)c(C(C)C)cc1C,4,3,2,1,10,9,5
Cc1cc(O)cc(C)c1Cl,4,3,5,6,8,1,2
COc1cc(C(O)C(CO)Oc2ccccc2OC)ccc1O,22,21,20,19,4,3,2
CC(C)(C)c1ccccc1O,10,9,8,7,6,5,4
Cc1cc(C)c(C)c(O)c1,8,7,9,1,2,3,5
Cc1cc(O)c(C(C)(C)C)cc1F,4,3,2,1,11,10,5
CC(C)(C)c1cc(C(C)(C)c2ccccc2)ccc1O,19,18,17,16,6,5,4
Cc1cc(O)c(C(C)(C)C)cc1C,4,3,2,1,11,10,5
COc1ccc(O)cc1OC,6,5,4,3,2,8,7
Cc1cc(Cl)c(C)cc1O,9,8,7,5,3,2,1
CC(C)(C)c1cc(O)cc(C(C)(C)C)c1,7,6,8,9,14,4,5
CC(=O)Nc1ccc(O)cc1,8,7,9,10,4,5,6
COc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,11,10,9,8,7,17,12
CCc1c(C)cc(O)c(C(=O)OC)c1C,7,6,5,3,2,13,8
COC(=O)c1c(O)cc(C)c(CCCl)c1C,6,5,7,8,10,14,4
COc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,10,9,8,7,6,16,11
COC(=O)c1c(O)cc(C)c(C)c1C,6,5,7,8,10,12,4
Cc1cc(C(C)(C)C)ccc1O,11,10,9,8,3,2,1
Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,4,3,2,1,11,10,5
COc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,12,11,10,9,8,18,13
CC(C)(C)c1cc(C(c2ccccc2)(c2ccccc2)c2ccccc2)ccc1O,29,28,27,26,6,5,4
COc1cc(O)c(C(C)=O)c(OC)c1,5,4,3,2,13,10,6
COc1ccc(O)c(C=O)c1,6,5,4,3,2,10,7
CCOC(=O)c1ccc(O)cc1,9,8,10,11,5,6,7
COc1cc(C)cc(O)c1C,8,7,6,4,3,2,9
COc1ccc(O)cc1F,6,5,4,3,2,8,7
COc1cc(CCc2cc(OC)c(OC)c(OC)c2)ccc1O,22,21,20,19,4,3,2
COc1c(O)cc(C)cc1C(C)(C)C,4,3,5,6,8,9,2
CCOC(=O)C(=Cc1ccc(O)c(OC)c1)C(=O)OCC,11,10,9,8,7,15,12
Cc1cc(O)c(C(C)C)cc1C(C)(C)C,4,3,2,1,10,9,5
COC(=O)c1cc(C)ccc1O,11,10,9,8,6,5,4
C=CCc1c(C)cc(OC)cc1O,12,11,10,7,6,4,3
COc1ccc(F)cc1-c1ccc(O)c(C(C)(C)C)c1,13,12,11,10,9,19,14
Cc1ccc(C(C)C)c(O)c1,9,8,10,1,2,3,4
Cc1ccc(O)c(Br)c1,5,4,3,2,1,8,6
CC(C)(C)c1cc(-c2cccc3ccccc23)ccc1O,20,19,18,17,6,5,4
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(C)=O,10,9,8,7,6,16,11
C=CCc1cccc(O)c1,8,7,6,5,4,3,9
Oc1ccccc1C(F)(F)F,0,1,2,3,4,5,6
Cc1cc(C)cc(O)c1,7,6,8,1,2,3,5
Cc1cc(O)cc(C)c1C,4,3,5,6,8,1,2
Cc1cc(O)c(C(C)C)cc1C(C)C,4,3,2,1,10,9,5
CCOC(=O)c1c(O)cc(C)c(CCCl)c1C,7,6,8,9,11,15,5
CCc1c(OC)cc(O)cc1OC,8,7,9,10,2,3,6
COc1cc(O)cc(OC)c1C,5,4,6,7,10,2,3
COc1cc(O)cc(OC)c1-c1ccccc1,5,4,6,7,10,2,3
COCc1ccc(O)c(OC)c1,7,6,5,4,3,11,8
Oc1ccc(OCc2ccccc2)cc1,0,1,14,13,4,3,2
Oc1ccc(-c2ccccc2)cc1,0,1,12,11,4,3,2
Cc1cc(O)c(-c2ccc(C(F)(F)F)cc2)cc1C,4,3,2,1,17,16,5
C=CCOc1ccc(O)c(C(C)(C)C)c1,8,7,6,5,4,14,9
COc1cc(C=C(C#N)C(N)=O)ccc1O,15,14,13,12,4,3,2
COC(=O)C(C#N)=Cc1ccc(O)c(OC)c1,12,11,10,9,8,16,13
CCc1cc(C)c(C)cc1O,10,9,8,6,4,3,2
COC(=O)Cc1ccc(O)cc1,9,8,10,11,5,6,7
Cc1cc(O)c(-c2ccc(F)cc2)cc1C,4,3,2,1,14,13,5
CCc1ccc(O)c(C(C)(C)C)c1,6,5,4,3,2,12,7
COc1cc(CCC(C)=O)ccc1O,13,12,11,10,4,3,2
CC(=O)c1cc(C)ccc1O,10,9,8,7,5,4,3
Cc1cc(O)c(C2CCCC2)cc1C,4,3,2,1,12,11,5
CC(C)(C)c1cc(-c2ccc(C#N)cc2)ccc1O,18,17,16,15,6,5,4
Cc1cc(O)cc(C(C)(C)C)c1,4,3,5,6,11,1,2
Cc1cc(O)c(C(C)(C)C)cc1Br,4,3,2,1,11,10,5
CC(C)(C)c1ccc(O)c(-c2ccccc2)c1,8,7,6,5,4,16,9
Cc1cc(O)c(-c2cccc(F)c2)cc1C,4,3,2,1,14,13,5
COc1cc(O)cc(C)c1OC,5,4,6,7,9,2,3
COCCOCCOCCOc1ccc(O)c(C(C)(C)C)c1,15,14,13,12,11,21,16
COC(=O)C(Cc1ccc(O)cc1)NC(=O)OCc1ccccc1,10,9,11,12,6,7,8
Cc1cc(O)c(C(C)C)cc1C1CCCCC1,4,3,2,1,10,9,5
COc1cc(C)cc(O)c1C(C)=O,8,7,6,4,3,2,9
CCC(C)(C)c1cc(C)ccc1O,12,11,10,9,7,6,5
Cc1cc(O)c(C2CCCCC2)cc1C,4,3,2,1,13,12,5
Cc1cc(O)c(-c2ccccc2)cc1C,4,3,2,1,13,12,5
CCC(C)(C)c1cc(C(C)(C)C)c(O)cc1C,13,12,14,15,5,6,7
COc1c(O)cc(C)cc1C1(C)CCCC1(C)C,4,3,5,6,8,9,2
Cc1cc(C(C)(C)C)c(C)cc1O,12,11,10,8,3,2,1
COc1ccc(-c2cc(C(C)(C)C)ccc2O)cc1,16,15,14,13,8,7,6
Cc1cc(O)c(C23CC4CC(CC(C4)C2)C3)cc1C,4,3,2,1,17,16,5
COc1cc(C=C(C#N)c2ccccn2)ccc1O,18,17,16,15,4,3,2
Cc1cc(O)c(C)c(C)c1C,4,3,2,1,9,7,5
CCC(C)c1cc(C)c(O)cc1C,9,8,10,11,4,5,6
CC(C)(C)c1ccc(O)c(Br)c1,8,7,6,5,4,11,9
COC(=O)C(Cc1ccc(O)cc1)NC(C)=O,10,9,11,12,6,7,8
Cc1cc(O)c(C(C)C)c(C)c1C,4,3,2,1,11,9,5
COc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,5,4,3,2,12,11,6
CCCCCc1ccc(O)cc1,9,8,10,11,5,6,7
COc1ccccc1O,8,7,6,5,4,3,2
Cc1ccc(O)c(-c2ccc(C(F)(F)F)cc2)c1,5,4,3,2,1,17,6
COc1cc(CC2CO2)ccc1O,12,11,10,9,4,3,2
CC(=O)c1cc(C)c(Br)cc1O,11,10,9,7,5,4,3
COc1cc(CCOC(C)=O)ccc1O,14,13,12,11,4,3,2
COC(=O)c1c(O)cc(OC)c(OC)c1C,6,5,7,8,11,14,4
COc1cc(CC(NC(C)=O)C(=O)O)ccc1O,17,16,15,14,4,3,2
Cc1ccc(O)cc1C,5,4,3,2,1,7,6
CCc1ccc(-c2cc(C)ccc2O)cc1,13,12,11,10,8,7,6
Cc1cc(C)c(O)cc1C,6,5,7,8,1,2,3
Cc1ccc(O)c(Cl)c1,5,4,3,2,1,8,6
COC(=O)c1ccc(O)c(C=O)c1,8,7,6,5,4,12,9
COCOc1cc(O)c(C(C)(C)C)cc1C(C)(C)C,7,6,5,4,14,13,8
COc1cc(CC2COC(C)(C)O2)ccc1O,16,15,14,13,4,3,2
CCC(=O)c1ccc(O)c(OC)c1,8,7,6,5,4,12,9
COc1cc(CCO)ccc1O,11,10,9,8,4,3,2
CCOc1cc(C=C(C#N)C#N)ccc1O,15,14,13,12,5,4,3
Cc1ccc(O)c(-c2ccccc2)c1,5,4,3,2,1,13,6
Cc1cccc(O)c1,6,5,7,1,2,3,4
Cc1ccc(O)c(S(C)(=O)=O)c1,5,4,3,2,1,11,6
CCc1cc(C(C)C)c(O)cc1C,9,8,10,11,2,3,4
CC(C)(C)CC(C)(C)c1ccc(O)c(C(C)(C)CC(C)(C)C)c1,12,11,10,9,8,22,13
CCCCCCCCCCc1ccc(O)c(OC)c1,14,13,12,11,10,18,15
Oc1ccc(Oc2ccccc2)cc1,0,1,13,12,4,3,2
CCOC(=O)c1cc(C)ccc1O,12,11,10,9,7,6,5
CC(=O)NC(Cc1ccc(O)c(Br)c1)C(=O)O,10,9,8,7,6,13,11
CC(C)(C)OC(=O)NC(Cc1ccc(O)cc1)C(=O)O,14,13,15,16,10,11,12
COC(=O)c1c(C)cc(OC)cc1O,13,12,11,8,7,5,4
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,16,15,14,13,12,20,17
COc1ccc(-c2cc(C)c(C)cc2O)cc1,14,13,12,10,8,7,6
COC(=O)CCc1ccc(O)c(C(C)(C)C)c1,10,9,8,7,6,16,11
CCC(C)c1cc(C)c(C)cc1O,12,11,10,8,6,5,4
