smiles,m_1,p,m_2,o
CCCOc1ccc(O)cc1,[2H][H],[2H]OCCC,[2H][H],[2H][H]
COc1ccc(O)c(OC)c1,[2H][H],[2H]OC,[2H][H],[2H]OC
Cc1cccc(C)c1N=C(O)c1cc(S(N)(=O)=O)c(Cl)cc1O,[2H]Cl,[2H]S(N)(=O)=O,[2H][H],[2H]C(O)=Nc1c(C)cccc1C
COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,[2H][H],[2H][H],[2H]Nc1ncnc2cc(OC)c(OC)cc12,[2H][H]
COc1cc2ncnc(Nc3ccc(O)c(Br)c3)c2cc1OC,[2H][H],[2H]Nc1ncnc2cc(OC)c(OC)cc12,[2H][H],[2H]Br
Oc1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,[2H][H],[2H]C(=C(c1ccccc1)c1ccccc1)c1ccccc1,[2H][H],[2H][H]
Cc1ccc(N=Nc2ccc(O)cc2)cc1,[2H][H],[2H]N=Nc1ccc(C)cc1,[2H][H],[2H][H]
CC(C)Oc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1,[2H][H],[2H]S(=O)(=O)c1ccc(OC(C)C)cc1,[2H][H],[2H][H]
Oc1ccccc1C1CCCCC1O,[2H][H],[2H][H],[2H][H],[2H]C1CCCCC1O
COCOc1cc(O)c(C(C)=O)c(OCOC)c1,[2H]OCOC,[2H][H],[2H]OCOC,[2H]C(C)=O
CCCCCCCC(=O)c1ccc(O)c(C(=O)O)c1,[2H][H],[2H]C(=O)CCCCCCC,[2H][H],[2H]C(=O)O
CC(O)c1ccc(O)cc1,[2H][H],[2H]C(C)O,[2H][H],[2H][H]
N#CCc1cccc(O)c1,[2H][H],[2H][H],[2H]CC#N,[2H][H]
CCC1CCC(c2ccc(O)cc2)CC1,[2H][H],[2H]C1CCC(CC)CC1,[2H][H],[2H][H]
CC1(C)CC(=O)C2=C(C1)N=C(S)NC2c1cccc(O)c1,[2H][H],[2H][H],[2H]C1NC(S)=NC2=C1C(=O)CC(C)(C)C2,[2H][H]
CC1CNCCC1(C)c1cccc(O)c1,[2H][H],[2H][H],[2H]C1(C)CCNCC1C,[2H][H]
