smiles,m_1,p,m_2,o
CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,[2H][H],[2H]C(C)(C)C,[2H][H],[2H]C(C)(C)C
C=CCc1ccc(O)c(OC)c1,[2H][H],[2H]CC=C,[2H][H],[2H]OC
COc1cc(C=C(C#N)C#N)ccc1O,[2H][H],[2H]C=C(C#N)C#N,[2H][H],[2H]OC
COc1ccc(O)cc1,[2H][H],[2H]OC,[2H][H],[2H][H]
C=CCc1c(C)cc(C)cc1O,[2H]C,[2H][H],[2H]C,[2H]CC=C
COc1ccc(O)c(C(C)(C)C)c1,[2H][H],[2H]OC,[2H][H],[2H]C(C)(C)C
CCCc1c(C)cc(C)cc1O,[2H]C,[2H][H],[2H]C,[2H]CCC
Cc1cc(O)c(C(C)(C)C)cc1Cl,[2H]C,[2H]Cl,[2H][H],[2H]C(C)(C)C
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,[2H][H],[2H]CC(NC(=O)OC(C)(C)C)C(=O)OC,[2H][H],[2H]C(C)(C)C
Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,[2H][H],[2H]c1ccc(C)cc1,[2H][H],[2H]C(C)(C)C
COc1cc(C)ccc1O,[2H][H],[2H]C,[2H][H],[2H]OC
COc1cc(C=O)ccc1O,[2H][H],[2H]C=O,[2H][H],[2H]OC
COc1cc(C=NO)ccc1O,[2H][H],[2H]C=NO,[2H][H],[2H]OC
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,[2H][H],[2H]CC(NC(=O)OCc1ccccc1)C(=O)OC,[2H][H],[2H]C(C)(C)C
CCCCc1ccc(O)cc1,[2H][H],[2H]CCCC,[2H][H],[2H][H]
Cc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,[2H][H],[2H]c1cccc(C)c1,[2H][H],[2H]C(C)(C)C
CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,[2H][H],[2H]C(C)(C)c1ccccc1,[2H][H],[2H]C(C)(C)c1ccccc1
COc1cc(C(C)=O)ccc1O,[2H][H],[2H]C(C)=O,[2H][H],[2H]OC
COc1cc(C#N)ccc1O,[2H][H],[2H]C#N,[2H][H],[2H]OC
COC(=O)c1ccc(O)c(OC)c1,[2H][H],[2H]C(=O)OC,[2H][H],[2H]OC
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,[2H][H],[2H]C,[2H][H],[2H]n1nc2ccccc2n1
Cc1ccc(O)c(C)c1,[2H][H],[2H]C,[2H][H],[2H]C
CC(C)c1ccc(O)cc1,[2H][H],[2H]C(C)C,[2H][H],[2H][H]
CC(C)(C)c1cc(-c2ccccc2)ccc1O,[2H][H],[2H]c1ccccc1,[2H][H],[2H]C(C)(C)C
CC(C)(C)c1cc(-c2ccc(F)cc2)ccc1O,[2H][H],[2H]c1ccc(F)cc1,[2H][H],[2H]C(C)(C)C
