inchi,inchikey,smiles_rea,smiles_pro,RGT,SOL,CAT,ylds,PN,reference,DOI
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],88,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C11H16O/c1-8-5-6-10(12)9(7-8)11(2,3)4/h5-7,12H,1-4H3",IKEHOXWJQXIQAG-UHFFFAOYSA-N,Cc1ccc(O)c(C(C)(C)C)c1,Cc1cc(-c2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],66,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C11H16O/c1-7(2)10-5-8(3)9(4)6-11(10)12/h5-7,12H,1-4H3",RFRYAUSWHSKOIY-UHFFFAOYSA-N,Cc1cc(O)c(C(C)C)cc1C,Cc1cc(C(C)C)c(O)c(-c2c(C)c(C)cc(C(C)C)c2O)c1C,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],65,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C12H18O/c1-8-6-10(12(3,4)5)11(13)7-9(8)2/h6-7,13H,1-5H3",GDGFDAKCWRGGHW-UHFFFAOYSA-N,Cc1cc(O)c(C(C)(C)C)cc1C,Cc1cc(C(C)(C)C)c(O)c(-c2c(C)c(C)cc(C(C)(C)C)c2O)c1C,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],70,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C10H14O/c1-4-9-5-7(2)8(3)6-10(9)11/h5-6,11H,4H2,1-3H3",ZUDAICPAUJSPHK-UHFFFAOYSA-N,CCc1cc(C)c(C)cc1O,CCc1cc(C)c(C)c(-c2c(C)c(C)cc(CC)c2O)c1O,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],67,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C12H18O/c1-5-9-6-7-11(13)10(8-9)12(2,3)4/h6-8,13H,5H2,1-4H3",LZHCVNIARUXHAL-UHFFFAOYSA-N,CCc1ccc(O)c(C(C)(C)C)c1,CCc1cc(-c2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],65,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],53,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",KUFFULVDNCHOFZ-UHFFFAOYSA-N,Cc1ccc(O)c(C)c1,Cc1cc(C)c(O)c(-c2cc(C)cc(C)c2O)c1,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],56,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C16H18O/c1-16(2,3)13-9-10-15(17)14(11-13)12-7-5-4-6-8-12/h4-11,17H,1-3H3",IYPYKRAEQZVXSC-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(-c2ccccc2)c1,CC(C)(C)c1cc(-c2ccccc2)c(O)c(-c2cc(C(C)(C)C)cc(-c3ccccc3)c2O)c1,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],60,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
"InChI=1S/C17H20O2/c1-17(2,3)13-7-10-16(18)15(11-13)12-5-8-14(19-4)9-6-12/h5-11,18H,1-4H3",VHNCMFYKBRTACQ-UHFFFAOYSA-N,COc1ccc(-c2cc(C(C)(C)C)ccc2O)cc1,COc1ccc(-c2cc(C(C)(C)C)cc(-c3cc(C(C)(C)C)cc(-c4ccc(OC)cc4)c3O)c2O)cc1,"['64-19-7', '431-03-8', '7782-44-7']",['7732-18-5'],[],55,1,Atmosphere- and Solvent-Controlled Coupling and Acetylation of Phenols Induced by Visible Light,https://doi.org/10.1021/acs.joc.2c02470
