inchi,inchikey,smiles_rea,ylds,PN,size,size_unit,price,price_unit,price/size,price/size_unit,company,BG
"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",PETRWTHZSKVLRE-UHFFFAOYSA-N,COc1cc(C)ccc1O,35.92399,1,25,ml,25,$,1,$/ml,TCI,0
"InChI=1S/C11H16O/c1-8-5-6-10(12)9(7-8)11(2,3)4/h5-7,12H,1-4H3",IKEHOXWJQXIQAG-UHFFFAOYSA-N,Cc1ccc(O)c(C(C)(C)C)c1,14.17224,1,25,g,19,$,0.76,$/g,TCI,0
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,27.95508,1,25,g,29,$,1.16,$/g,TCI,0
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,68.38455,1,25,g,31,$,1.24,$/g,TCI,0
"InChI=1S/C11H16O/c1-2-3-4-5-10-6-8-11(12)9-7-10/h6-9,12H,2-5H2,1H3",ZNPSUQQXTRRSBM-UHFFFAOYSA-N,CCCCCc1ccc(O)cc1,11.14008,1,25,ml,106,$,4.24,$/ml,TCI,0
"InChI=1S/C9H12O2/c1-3-7-4-5-8(10)9(6-7)11-2/h4-6,10H,3H2,1-2H3",CHWNEIVBYREQRF-UHFFFAOYSA-N,CCc1ccc(O)c(OC)c1,43.3244,1,5,ml,22,$,4.4,$/ml,TCI,0
"InChI=1S/C8H10O2/c1-2-10-8-5-3-7(9)4-6-8/h3-6,9H,2H2,1H3",LKVFCSWBKOVHAH-UHFFFAOYSA-N,CCOc1ccc(O)cc1,13.1287,1,25,g,50,$,2,$/g,TCI,0
"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3",NWVVVBRKAWDGAB-UHFFFAOYSA-N,COc1ccc(O)cc1,8.053494213,1,25,g,20,$,0.8,$/g,TCI,0
"InChI=1S/C11H14O3/c1-8(12)3-4-9-5-6-10(13)11(7-9)14-2/h5-7,13H,3-4H2,1-2H3",OJYLAHXKWMRDGS-UHFFFAOYSA-N,COc1cc(CCC(C)=O)ccc1O,17.76734062,1,25,g,73,$,2.92,$/g,TCI,0
"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",KUFFULVDNCHOFZ-UHFFFAOYSA-N,Cc1ccc(O)c(C)c1,5.3,1,25,g,25,$,1,$/g,TCI,0
"InChI=1S/C9H10O4/c1-12-6-3-4-8(10)7(5-6)9(11)13-2/h3-5,10H,1-2H3",DFNBGZODMHWKKK-UHFFFAOYSA-N,COC(=O)c1cc(OC)ccc1O,13,1,5,g,39,$,7.8,$/g,TCI,0
"InChI=1S/C9H10O3/c1-6(10)8-5-7(12-2)3-4-9(8)11/h3-5,11H,1-2H3",MLIBGOFSXXWRIY-UHFFFAOYSA-N,COc1ccc(O)c(C(C)=O)c1,8.894511545,1,5,g,26,$,5.2,$/g,TCI,0
"InChI=1S/C9H12O2/c1-2-7-11-9-5-3-8(10)4-6-9/h3-6,10H,2,7H2,1H3",KIIIPQXXLVCCQP-UHFFFAOYSA-N,CCCOc1ccc(O)cc1,16,1,25,g,218,$,8.72,$/g,Thermo Fisher Scientific,0
"InChI=1S/C8H10O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-4,9-10H,5H2,1H3",ZENOXNGFMSCLLL-UHFFFAOYSA-N,COc1cc(CO)ccc1O,6.7861878,1,25,g,63,$,2.52,$/g,TCI,0
"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,0,0,25,g,23,$,0.92,$/g,TCI,0
"InChI=1S/C10H14O/c1-10(2,3)8-4-6-9(11)7-5-8/h4-7,11H,1-3H3",QHPQWRBYOIRBIT-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)cc1,0,0,25,g,17,$,0.68,$/g,TCI,0
"InChI=1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7/h2-5,10H,1H3",TXFPEBPIARQUIG-UHFFFAOYSA-N,CC(=O)c1ccc(O)cc1,0,0,25,g,29,$,1.16,$/g,TCI,0
"InChI=1S/C8H10O/c1-2-7-3-5-8(9)6-4-7/h3-6,9H,2H2,1H3",HXDOZKJGKXYMEW-UHFFFAOYSA-N,CCc1ccc(O)cc1,0,0,25,g,23,$,0.92,$/g,TCI,0
"InChI=1S/C12H16O/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h6-10,13H,1-5H2",OAHMVZYHIJQTQC-UHFFFAOYSA-N,Oc1ccc(C2CCCCC2)cc1,0,0,25,g,182,$,7.28,$/g,TCI,0
"InChI=1S/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3",YCOXTKKNXUZSKD-UHFFFAOYSA-N,Cc1ccc(O)cc1C,0,0,25,g,17,$,0.68,$/g,TCI,0
