inchi,inchikey,smiles_rea,smiles_pro,RGT,SOL,CAT,ylds,PN,reference,DOI
"InChI=1S/C16H23NO4/c1-10(18)17-13(15(20)21-5)9-11-6-7-14(19)12(8-11)16(2,3)4/h6-8,13,19H,9H2,1-5H3,(H,17,18)",SJEQTUWAQJGQIJ-UHFFFAOYSA-N,COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(C)=O,COC(=O)C(Cc1cc(-c2cc(CC(NC(C)=O)C(=O)OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1)NC(C)=O,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",76.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H16O/c1-8-5-6-10(12)9(7-8)11(2,3)4/h5-7,12H,1-4H3",IKEHOXWJQXIQAG-UHFFFAOYSA-N,Cc1ccc(O)c(C(C)(C)C)c1,Cc1cc(-c2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",70.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C11H16O/c1-7(2)10-5-8(3)9(4)6-11(10)12/h5-7,12H,1-4H3",RFRYAUSWHSKOIY-UHFFFAOYSA-N,Cc1cc(O)c(C(C)C)cc1C,Cc1cc(C(C)C)c(O)c(-c2c(C)c(C)cc(C(C)C)c2O)c1C,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",65.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C15H13F3O/c1-9-7-13(14(19)8-10(9)2)11-3-5-12(6-4-11)15(16,17)18/h3-8,19H,1-2H3",DMRQMZMSPVFYHT-UHFFFAOYSA-N,Cc1cc(O)c(-c2ccc(C(F)(F)F)cc2)cc1C,Cc1cc(-c2ccc(C(F)(F)F)cc2)c(O)c(-c2c(C)c(C)cc(-c3ccc(C(F)(F)F)cc3)c2O)c1C,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",70.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C14H13FO/c1-9-7-13(14(16)8-10(9)2)11-3-5-12(15)6-4-11/h3-8,16H,1-2H3",PTDQIYVNNZTNSA-UHFFFAOYSA-N,Cc1cc(O)c(-c2ccc(F)cc2)cc1C,Cc1cc(-c2ccc(F)cc2)c(O)c(-c2c(C)c(C)cc(-c3ccc(F)cc3)c2O)c1C,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",66.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C19H29NO5/c1-18(2,3)13-10-12(8-9-15(13)21)11-14(16(22)24-7)20-17(23)25-19(4,5)6/h8-10,14,21H,11H2,1-7H3,(H,20,23)",UYLQLXFFKGZGSG-UHFFFAOYSA-N,COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,COC(=O)C(Cc1cc(-c2cc(CC(NC(=O)OC(C)(C)C)C(=O)OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",62.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C10H14O/c1-4-9-5-7(2)8(3)6-10(9)11/h5-6,11H,4H2,1-3H3",ZUDAICPAUJSPHK-UHFFFAOYSA-N,CCc1cc(C)c(C)cc1O,CCc1cc(C)c(C)c(-c2c(C)c(C)cc(CC)c2O)c1O,['7782-44-7'],['107-06-2'],"['1625-91-8', '1442433-71-7']",62.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H12O/c1-6-4-9(10)5-7(2)8(6)3/h4-5,10H,1-3H3",FDQQNNZKEJIHMS-UHFFFAOYSA-N,Cc1cc(O)cc(C)c1C,Cc1cc(O)c(-c2c(O)cc(C)c(C)c2C)c(C)c1C,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",61.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C14H13FO/c1-9-6-13(14(16)7-10(9)2)11-4-3-5-12(15)8-11/h3-8,16H,1-2H3",QZFGGLUKDYRSTB-UHFFFAOYSA-N,Cc1cc(O)c(-c2cccc(F)c2)cc1C,Cc1cc(-c2cccc(F)c2)c(O)c(-c2c(C)c(C)cc(-c3cccc(F)c3)c2O)c1C,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",60.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C14H14O/c1-10-8-13(14(15)9-11(10)2)12-6-4-3-5-7-12/h3-9,15H,1-2H3",KUXZENNLKQQJRM-UHFFFAOYSA-N,Cc1cc(O)c(-c2ccccc2)cc1C,Cc1cc(-c2ccccc2)c(O)c(-c2c(C)c(C)cc(-c3ccccc3)c2O)c1C,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",56.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,['7782-44-7'],['107-06-2'],"['1625-91-8', '1442433-71-7']",45.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C22H27NO5/c1-22(2,3)17-12-16(10-11-19(17)24)13-18(20(25)27-4)23-21(26)28-14-15-8-6-5-7-9-15/h5-12,18,24H,13-14H2,1-4H3,(H,23,26)",IQQXJQWQWXUKQX-UHFFFAOYSA-N,COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,COC(=O)C(Cc1cc(-c2cc(CC(NC(=O)OCc3ccccc3)C(=O)OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",44.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C12H18O/c1-8-6-10(12(3,4)5)11(13)7-9(8)2/h6-7,13H,1-5H3",GDGFDAKCWRGGHW-UHFFFAOYSA-N,Cc1cc(O)c(C(C)(C)C)cc1C,Cc1cc(C(C)(C)C)c(O)c(-c2c(C)c(C)cc(C(C)(C)C)c2O)c1C,['7782-44-7'],"['107-06-2', '920-66-1']","['1625-91-8', '1442433-71-7']",50.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C14H11F3O/c1-9-2-7-13(18)12(8-9)10-3-5-11(6-4-10)14(15,16)17/h2-8,18H,1H3",TTZZCDMXAYWGQK-UHFFFAOYSA-N,Cc1ccc(O)c(-c2ccc(C(F)(F)F)cc2)c1,Cc1cc(-c2ccc(C(F)(F)F)cc2)c(O)c(-c2cc(C)cc(-c3ccc(C(F)(F)F)cc3)c2O)c1,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",50.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C9H12O/c1-6-4-8(3)9(10)5-7(6)2/h4-5,10H,1-3H3",VXSCPERJHPWROZ-UHFFFAOYSA-N,Cc1cc(C)c(O)cc1C,Cc1cc(C)c(O)c(-c2c(C)c(C)cc(C)c2O)c1C,['7782-44-7'],['107-06-2'],"['1625-91-8', '1442433-71-7']",47.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",KUFFULVDNCHOFZ-UHFFFAOYSA-N,Cc1ccc(O)c(C)c1,Cc1cc(C)c(O)c(-c2cc(C)cc(C)c2O)c1,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",34.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C13H12O/c1-10-7-8-13(14)12(9-10)11-5-3-2-4-6-11/h2-9,14H,1H3",VMMOWSARKBKLJM-UHFFFAOYSA-N,Cc1ccc(O)c(-c2ccccc2)c1,Cc1cc(-c2ccccc2)c(O)c(-c2cc(C)cc(-c3ccccc3)c2O)c1,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",34.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
"InChI=1S/C15H16O2/c1-10-8-14(15(16)9-11(10)2)12-4-6-13(17-3)7-5-12/h4-9,16H,1-3H3",ZISZSMMIJCNSEA-UHFFFAOYSA-N,COc1ccc(-c2cc(C)c(C)cc2O)cc1,COc1ccc(-c2cc(C)c(C)c(-c3c(C)c(C)cc(-c4ccc(OC)cc4)c3O)c2O)cc1,['7782-44-7'],['920-66-1'],"['1625-91-8', '1442433-71-7']",36.0,1.0,"Oxidative photocatalytic homo- and cross-coupling of phenols: Nonenzymatic, catalytic method for coupling tyrosine",https://doi.org/10.1021/acscatal.0c04515
