inchi,inchikey,smiles_rea,smiles_pro,RGT,SOL,CAT,ylds,PN,reference,DOI
"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",PETRWTHZSKVLRE-UHFFFAOYSA-N,COc1cc(C)ccc1O,COc1cc(C)cc(-c2cc(C)cc(OC)c2O)c1O,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],95,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C7H8O2/c1-9-7-4-2-6(8)3-5-7/h2-5,8H,1H3",NWVVVBRKAWDGAB-UHFFFAOYSA-N,COc1ccc(O)cc1,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],75,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C11H16O2/c1-11(2,3)9-7-8(13-4)5-6-10(9)12/h5-7,12H,1-4H3",MRBKEAMVRSLQPH-UHFFFAOYSA-N,COc1ccc(O)c(C(C)(C)C)c1,COc1cc(-c2cc(OC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],80,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1,C=CCc1cc(OC)c(O)c(-c2cc(CC=C)cc(OC)c2O)c1,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],73,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C13H12O2/c14-12-6-8-13(9-7-12)15-10-11-4-2-1-3-5-11/h1-9,14H,10H2",VYQNWZOUAUKGHI-UHFFFAOYSA-N,Oc1ccc(OCc2ccccc2)cc1,Oc1ccc(OCc2ccccc2)cc1-c1cc(OCc2ccccc2)ccc1O,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],71,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C14H22O/c1-13(2,3)10-7-8-12(15)11(9-10)14(4,5)6/h7-9,15H,1-6H3",ICKWICRCANNIBI-UHFFFAOYSA-N,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],56,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",KUFFULVDNCHOFZ-UHFFFAOYSA-N,Cc1ccc(O)c(C)c1,Cc1cc(C)c(O)c(-c2cc(C)cc(C)c2O)c1,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],46,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C11H16O/c1-8-5-6-10(12)9(7-8)11(2,3)4/h5-7,12H,1-4H3",IKEHOXWJQXIQAG-UHFFFAOYSA-N,Cc1ccc(O)c(C(C)(C)C)c1,Cc1cc(-c2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],50,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)c(-c2cc(NC(C)=O)ccc2O)c1,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],47,1,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201595
"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",HFZWRUODUSTPEG-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cl,Clc1cc(Cl)c(O)c(c2c(O)c(Cl)cc(Cl)c2)c1,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],0,0,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201596
"InChI=1S/C9H10O3/c1-6(10)7-3-4-8(11)9(5-7)12-2/h3-5,11H,1-2H3",DFYRUELUNQRZTB-UHFFFAOYSA-N,COc1cc(C(C)=O)ccc1O,COc1cc(C(C)=O)cc(-c2cc(C(C)=O)cc(OC)c2O)c1O,"['497-19-8', '7782-44-7', '7647-01-0']","['67-56-1', '7732-18-5']",['28903-71-1'],0,0,Cobalt(II)-Porphyrin-Catalyzed Aerobic Oxidation: Oxidative Coupling of Phenols,https://doi.org/10.1002/ejoc.201201597
