smiles,inchi,inchikey,scifinder_syn,SG,scifinder_bio,ChEMBL,ChEBI,pubchem_bio,BG,pubchem_sigma,pubchem_TCI,RG
C=CCc1c(C)cc(C)cc1O,"InChI=1S/C11H14O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h4,6-7,12H,1,5H2,2-3H3",VJBNTMUSFMRWSH-UHFFFAOYSA-N,1,1,1,0,0,0,1,0,0,0
CCCc1c(C)cc(C)cc1O,"InChI=1S/C11H16O/c1-4-5-10-9(3)6-8(2)7-11(10)12/h6-7,12H,4-5H2,1-3H3",FFEBZYTUVUAZHA-UHFFFAOYSA-N,1,1,1,0,0,0,1,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1Cl,"InChI=1S/C11H15ClO/c1-7-5-10(13)8(6-9(7)12)11(2,3)4/h5-6,13H,1-4H3",PDCFFHOQPXOVDC-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OC(C)(C)C,"InChI=1S/C19H29NO5/c1-18(2,3)13-10-12(8-9-15(13)21)11-14(16(22)24-7)20-17(23)25-19(4,5)6/h8-10,14,21H,11H2,1-7H3,(H,20,23)",UYLQLXFFKGZGSG-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
Cc1ccc(-c2ccc(O)c(C(C)(C)C)c2)cc1,"InChI=1S/C17H20O/c1-12-5-7-13(8-6-12)14-9-10-16(18)15(11-14)17(2,3)4/h5-11,18H,1-4H3",MWXYQNUGONRDPF-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
COC(=O)C(Cc1ccc(O)c(C(C)(C)C)c1)NC(=O)OCc1ccccc1,"InChI=1S/C22H27NO5/c1-22(2,3)17-12-16(10-11-19(17)24)13-18(20(25)27-4)23-21(26)28-14-15-8-6-5-7-9-15/h5-12,18,24H,13-14H2,1-4H3,(H,23,26)",IQQXJQWQWXUKQX-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
Cc1cccc(-c2ccc(O)c(C(C)(C)C)c2)c1,"InChI=1S/C17H20O/c1-12-6-5-7-13(10-12)14-8-9-16(18)15(11-14)17(2,3)4/h5-11,18H,1-4H3",SHNFHFYHZCSNGT-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,"InChI=1S/C13H11N3O/c1-9-6-7-13(17)12(8-9)16-14-10-4-2-3-5-11(10)15-16/h2-8,17H,1H3",MCPKSFINULVDNX-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
CC(C)(C)c1cc(-c2ccccc2)ccc1O,"InChI=1S/C16H18O/c1-16(2,3)14-11-13(9-10-15(14)17)12-7-5-4-6-8-12/h4-11,17H,1-3H3",KXQMNHRMRRUCCA-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
CC(C)(C)c1cc(-c2ccc(F)cc2)ccc1O,"InChI=1S/C16H17FO/c1-16(2,3)14-10-12(6-9-15(14)18)11-4-7-13(17)8-5-11/h4-10,18H,1-3H3",CFEXOJQZWPCJAY-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
COc1ccc(O)cc1C,"InChI=1S/C8H10O2/c1-6-5-7(9)3-4-8(6)10-2/h3-5,9H,1-2H3",ILASIIGKRFKNQC-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
CC(C)(C)c1cc(-c2ccc(C(F)(F)F)cc2)ccc1O,"InChI=1S/C17H17F3O/c1-16(2,3)14-10-12(6-9-15(14)21)11-4-7-13(8-5-11)17(18,19)20/h4-10,21H,1-3H3",LCLLCIOCDQHZOY-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
COc1cc(C=C(C(C)=O)C(C)=O)ccc1O,"InChI=1S/C13H14O4/c1-8(14)11(9(2)15)6-10-4-5-12(16)13(7-10)17-3/h4-7,16H,1-3H3",XMAWAPAJKQHUHU-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
C=CCc1ccc(O)cc1,"InChI=1S/C9H10O/c1-2-3-8-4-6-9(10)7-5-8/h2,4-7,10H,1,3H2",RGIBXDHONMXTLI-UHFFFAOYSA-N,1,1,1,1,0,1,1,0,1,1
CCCCC(CC)Cc1ccc(O)cc1,"InChI=1S/C14H22O/c1-3-5-6-12(4-2)11-13-7-9-14(15)10-8-13/h7-10,12,15H,3-6,11H2,1-2H3",OKUMHINSMZOUIZ-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
Cc1ccccc1-c1ccc(O)c(C(C)(C)C)c1,"InChI=1S/C17H20O/c1-12-7-5-6-8-14(12)13-9-10-16(18)15(11-13)17(2,3)4/h5-11,18H,1-4H3",MIGHBKRXISUNAH-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
CCC(C)(C)c1ccc(O)c(C(C)(C)C)c1,"InChI=1S/C15H24O/c1-7-15(5,6)11-8-9-13(16)12(10-11)14(2,3)4/h8-10,16H,7H2,1-6H3",NZRSIUKTGLRKIQ-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
CC(C)(C)c1cc(-c2ccc3ccccc3c2)ccc1O,"InChI=1S/C20H20O/c1-20(2,3)18-13-17(10-11-19(18)21)16-9-8-14-6-4-5-7-15(14)12-16/h4-13,21H,1-3H3",RRVVCCMXWFMBON-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
C=C(C)c1ccc(O)cc1,"InChI=1S/C9H10O/c1-7(2)8-3-5-9(10)6-4-8/h3-6,10H,1H2,2H3",JAGRUUPXPPLSRX-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
CC(C)c1ccc(O)c(C(C)(C)C)c1,"InChI=1S/C13H20O/c1-9(2)10-6-7-12(14)11(8-10)13(3,4)5/h6-9,14H,1-5H3",KXLQULHLCDGRKG-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
Cc1cc(O)c(C(C)C)cc1C,"InChI=1S/C11H16O/c1-7(2)10-5-8(3)9(4)6-11(10)12/h5-7,12H,1-4H3",RFRYAUSWHSKOIY-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1F,"InChI=1S/C11H15FO/c1-7-5-10(13)8(6-9(7)12)11(2,3)4/h5-6,13H,1-4H3",QIAJAPAPIQKNDQ-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
CC(C)(C)c1cc(C(C)(C)c2ccccc2)ccc1O,"InChI=1S/C19H24O/c1-18(2,3)16-13-15(11-12-17(16)20)19(4,5)14-9-7-6-8-10-14/h6-13,20H,1-5H3",UYHCLPYFSWPVDZ-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
Cc1cc(O)c(C(C)(C)C)cc1C,"InChI=1S/C12H18O/c1-8-6-10(12(3,4)5)11(13)7-9(8)2/h6-7,13H,1-5H3",GDGFDAKCWRGGHW-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
Cc1cc(Cl)c(C)cc1O,"InChI=1S/C8H9ClO/c1-5-4-8(10)6(2)3-7(5)9/h3-4,10H,1-2H3",MMRJLQJSFOSVAM-UHFFFAOYSA-N,1,1,0,0,0,0,0,0,0,0
