,PC1,PC2
m_1_L,-0.519902281641633,0.08618770415828038
m_1_B1,-0.4872352503083262,0.033091739535756295
m_1_B5,-0.5120816575864071,0.11568257516799674
p_L,0.6829710819572253,0.0014471702248523093
p_B1,0.6139222273334128,0.10567094456817157
p_B5,0.753362052566235,-0.007918911787343313
m_2_L,-0.23221256806594984,-0.6297165619381094
m_2_B1,-0.25863730003079155,-0.6528319096938345
m_2_B5,-0.22984937881646342,-0.6288698396684843
o_L,-0.3219715139888999,0.6777942922062645
o_B1,-0.38549135991752215,0.6349587466771285
o_B5,-0.3751881970367076,0.7174475198234043
Charge_O,0.3884574164814836,-0.6585703781061173
Charge_next_O,-0.6047904887182273,-0.02835319249266772
Charge_o_1,0.5712350556878715,0.08071885997281361
Charge_m_1,-0.707343266374067,0.0709155089369637
Charge_p,0.6079325632271833,0.08764796038168109
Charge_m_2,-0.4385786600776424,-0.5908530617475644
Charge_o_2,0.29522089197678264,0.39678651998399317
HOMO,0.21284496264664085,0.32976866451903186
MolLogP,-0.014043410296899423,0.3966481709292412
MolWt,0.08492040491281215,0.5094959042068805
num_N,0.13679280066139676,0.3210451365529424
num_O,0.06641238995930998,0.12098230394188142
num_S,0.06846922975900457,0.04985675797011971
num_F,-0.03470055509347076,-0.11204221481924259
num_Cl,-0.06464168046150112,0.08157280518028298
num_Br,-0.07193853589226486,0.22046066912600326
