,PC1,PC2
m_1_L,-0.5199022816416334,0.0861877041582801
m_1_B1,-0.48723525030832654,0.03309173953575596
m_1_B5,-0.5120816575864074,0.11568257516799643
p_L,0.6829710819572252,0.0014471702248529004
p_B1,0.6139222273334128,0.10567094456817201
p_B5,0.7533620525662345,-0.007918911787342605
m_2_L,-0.2322125680659492,-0.6297165619381099
m_2_B1,-0.25863730003079083,-0.6528319096938346
m_2_B5,-0.22984937881646267,-0.6288698396684845
o_L,-0.3219715139889005,0.6777942922062641
o_B1,-0.38549135991752276,0.6349587466771279
o_B5,-0.375188197036708,0.7174475198234037
Charge_O,0.38845741648148385,-0.6585703781061171
Charge_next_O,-0.6047904887182274,-0.028353192492668253
Charge_o_1,0.5712350556878716,0.08071885997281392
Charge_m_1,-0.7073432663740675,0.07091550893696318
Charge_p,0.6079325632271834,0.08764796038168171
Charge_m_2,-0.43857866007764196,-0.5908530617475646
Charge_o_2,0.29522089197678225,0.3967865199839935
HOMO,0.2128449626466403,0.3297686645190319
MolLogP,-0.014043410296899681,0.39664817092924065
MolWt,0.0849204049128119,0.5094959042068804
num_N,0.13679280066139668,0.32104513655294215
num_O,0.06641238995930986,0.12098230394188156
num_S,0.06846922975900456,0.04985675797011969
num_F,-0.034700555093470684,-0.11204221481924263
num_Cl,-0.06464168046150101,0.08157280518028281
num_Br,-0.07193853589226495,0.22046066912600296
